System;mount;price;con;snow;ice;dur;Accegrade
SK;F;206;1.9;1.4;1.8;2.7;F
SRK;F or R;520;2.1;0.8;3.8;2.3;F
SK;F;160;1.7;1.9;1.6;3.7;F
SK;F;213;1.7;2.0;2.4;3.4;F
SMS;F or R;598;1.6;2.4;2.7;2.8;F
SK;F;109;2.0;1.9;2.4;3.7;F
SRK;F or R;325;2.0;2.1;3.2;2.8;F
SMS;F or R;498;1.5;3.3;3.5;2.0;T
SRK;F or R;396;2.8;2.1;3.1;2.5;T
SRK;F or R;325;2.2;2.2;4.6;3.2;T
SRK;F or R;389;2.0;2.2;3.3;4.3;T
SRK;F;298;2.5;2.3;3.3;2.8;T
SK;F;149;1.9;2.5;4.0;3.8;T
SMS;F or R;684;1.7;3.3;4.4;2.2;T
SK;F;99;2.8;2.2;2.5;4.0;T
SK;F;140;2.6;2.3;3.3;3.4;T
SK;F;215;2.3;3.8;4.8;2.3;T